bank_name,total_reviews,avg_rating,median_rating,avg_sentiment,positive_pct,negative_pct
Commercial Bank of Ethiopia,489,4.087934560327199,5.0,0.2780920245398773,61.34969325153374,7.975460122699387
Bank of Abyssinia,487,3.308008213552361,4.0,0.13305564681724846,48.04928131416838,20.32854209445585
Dashen Bank,487,4.121149897330596,5.0,0.36633182751540044,69.40451745379876,10.266940451745379
